id;url;issued_at;status
1;https://cluttered-design.com/;2025-08-15T07:33:02;REVOKED
2;https://admired-precedent.net;2025-08-14T14:10:37;GENERATED
3;https://terrible-case.com;2025-08-14T23:54:26;GENERATED
4;https://vain-integer.biz/;2025-08-14T13:03:17;REVOKED
5;https://busy-exasperation.com;2025-08-15T06:07:19;REVOKED
6;https://smug-approach.net/;2025-08-15T01:39:50;REVOKED
7;https://diligent-tennis.org/;2025-08-14T13:28:57;REVOKED
8;https://authentic-deck.biz;2025-08-14T11:34:01;REVOKED
9;https://wrathful-issue.com/;2025-08-14T18:37:29;GENERATED
10;https://shallow-dead.name;2025-08-14T19:55:35;GENERATED
